Text,Label
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
"Eating carrots cures cancer, scientists say.",Rumor
"Eating carrots cures cancer, scientists say.",Rumor
Aliens spotted in New York City!,Rumor
Aliens spotted in New York City!,Rumor
